"Source","Site_source","Target","Site_target","Transfers","Year","Week"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2014","48"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2014","49"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2014","50"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2014","51"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","01"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","1","2015","02"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","03"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","05"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","06"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","08"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","09"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","10"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","11"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","12"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","13"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","14"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","15"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","16"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","18"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","19"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","20"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","23"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","3","2015","24"
"AcuteMedicalUnit.EAU","PRUH","ChartwellUnit","PRUH","2","2015","25"
